full_name,primary_language,ai_maturity_level,scan_success,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,software_quality_maintainability_remediation_effort
facebookresearch/faiss,C++,1,true,34034,32,2,2313,3.4,13.5,4674,8379
google/leveldb,C++,1,true,420,19,0,0,0.0,0.0,,0
google/googletest,C++,1,true,4494,1,0,162,0.0,28.8,342,1379
duckdb/duckdb,C++,1,true,20918,7,4,366,0.5,6.0,4058,2536
nlohmann/json,C++,1,true,826,4,0,18,0.0,15.3,362,192
ggml-org/whisper.cpp,C++,1,true,13046,8,1,707,14.7,12.1,2104,4314
huihut/interview,C++,1,true,35,0,0,0,0.0,0.0,,0
Light-City/CPlusPlusThings,C++,1,true,,0,0,0,,,,0
aria2/aria2,C++,1,true,1307,0,0,123,0.0,7.4,163,648
aseprite/aseprite,C++,1,true,6738,0,0,2,0.0,3.5,,0
qbittorrent/qBittorrent,C++,1,true,31001,223,0,756,0.2,7.1,4766,5166
LizardByte/Sunshine,C++,2,true,8003,10,0,50,0.4,5.4,168,181
BVLC/caffe,C++,1,true,7125,7,0,323,0.1,32.2,1596,2600
CMU-Perceptual-Computing-Lab/openpose,C++,1,true,27724,133,0,407,1.8,0.8,211,2031
facebook/rocksdb,C++,2,true,55777,77,0,1647,5.0,22.7,3644,10628
microsoft/WSL,C++,2,true,3564,0,0,25,0.0,31.7,467,283
aristocratos/btop,C++,1,true,,0,0,0,,,,0
hyprwm/Hyprland,C++,1,true,2699,0,0,0,0.0,1.4,,0
microsoft/calculator,C++,1,true,29,0,0,0,0.0,59.7,,0
google-ai-edge/mediapipe,C++,1,true,85277,20,2,1243,2.5,23.6,5133,8375
shadps4-emu/shadPS4,C++,1,true,143,0,0,5,0.0,7.7,2,16
TheAlgorithms/C-Plus-Plus,C++,1,true,2198,5,0,8,0.0,7.2,6,16
carbon-language/carbon-lang,C++,2,true,5375,5,0,81,0.0,16.3,691,435
ValveSoftware/Proton,C++,1,true,3611,5,0,64,6.4,7.9,1043,561
telegramdesktop/tdesktop,C++,3,true,5909,8,0,189,0.9,1.9,775,1237
dragonflydb/dragonfly,C++,3,true,29909,44,60,581,1.1,10.3,2507,4633
barry-ran/QtScrcpy,C++,1,true,585,603,0,2,0.0,1.5,4,2
dmlc/xgboost,C++,1,true,50589,60,0,1475,2.2,15.0,4671,7049
facebook/folly,C++,1,true,11067,2,0,183,0.2,16.5,2256,2017
taichi-dev/taichi,C++,1,true,63236,316,0,1992,12.3,12.8,15672,11591
flameshot-org/flameshot,C++,1,true,135,0,0,0,0.0,11.2,,0
envoyproxy/envoy,C++,2,true,56824,93,43,1504,5.7,18.1,5850,10666
notepad-plus-plus/notepad-plus-plus,C++,1,true,266507,205,0,1552,9.5,2.3,1186,7463
ossrs/srs,C++,2,true,50771,834,8,2916,37.1,11.0,23755,21366
emscripten-core/emscripten,C++,1,true,136355,2044,0,8219,2.5,14.0,28154,48184
gabime/spdlog,C++,1,true,12,0,0,1,0.0,7.7,3,5
rethinkdb/rethinkdb,C++,1,true,86113,157,50,2648,85.8,25.6,18375,18418
microsoft/winget-cli,C++,2,true,978,0,0,50,0.0,0.7,39,316
typesense/typesense,C++,1,true,11876,1,0,149,33.5,1.7,704,721
78/xiaozhi-esp32,C++,1,true,4848,0,0,78,7.2,17.5,1217,605
v8/v8,C++,1,true,485546,10927,0,302639,11.1,7.4,66274,1620268
sqlitebrowser/sqlitebrowser,C++,1,true,1849,0,0,1,0.0,13.7,5,5
mozilla-ai/llamafile,C++,1,true,1096,0,0,3,1.0,28.6,138,35
PaddlePaddle/Paddle,C++,1,true,1103747,481,9,38185,13.5,17.4,148898,214866
google/flatbuffers,C++,1,true,98907,31,0,9966,40.4,9.9,10717,50708
argotorg/solidity,C++,1,true,9872,3,0,273,0.3,12.6,1296,1782
changkun/modern-cpp-tutorial,C++,1,true,344,4,0,61,0.0,7.8,164,293
simdjson/simdjson,C++,1,true,1626,254,0,300,0.0,5.4,248,1528
